key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,key_12,key_13,key_14,key_15,key_16,key_17,key_18,key_19,key_20,key_21,key_22,key_23,key_24,key_25,key_26,key_27,key_28,key_29,key_30,key_31,key_32,key_33,key_34,key_35,key_36
68.71918,73.275856,71.99243,65.84435,64.98297,70.660835,90.86573,62.148205,72.63421,73.740585,122.48846,78.1916,91.99514,99.19618,129.66301,84.96448,94.48444,123.413315,113.482376,83.71303,102.17448,96.70253,151.60335,157.3026,130.21828,164.30345,135.66403,223.3641,121.01208,229.24838,130.41122,291.18106,123.71389,291.4969,coverdrive,cover_0001.jpg
80.83873,50.185688,83.60435,47.38877,78.33693,47.305984,88.06758,48.147858,75.03988,48.339878,90.03392,65.33466,68.59947,63.864002,91.35841,87.2464,62.66357,85.71946,91.72855,99.61854,71.74804,101.40481,75.65343,103.86478,61.960114,102.9008,77.12428,135.81302,67.62999,135.80629,66.57213,164.9572,59.35781,167.12276,coverdrive,cover_00022.jpg
86.20475,53.990677,88.93968,51.137238,84.00969,51.0612,93.95496,51.416626,81.4001,51.63067,95.417435,68.448975,74.660934,66.022385,95.43802,91.24017,67.84622,87.096794,95.62214,103.42141,77.41497,103.62316,79.286766,106.901634,65.86655,105.61848,83.35805,138.39801,74.47786,138.04668,72.90303,169.83699,65.69313,172.04149,coverdrive,cover_00023.jpg
89.45802,53.246838,92.353935,50.41192,86.877396,50.281464,96.9096,50.916706,83.33386,50.791862,97.385544,68.360374,74.78597,66.14519,95.50209,91.161804,66.14615,89.613716,97.24574,103.94237,78.11357,106.54762,82.073364,109.84848,67.684586,108.91829,84.04205,142.86038,74.09241,142.3797,74.03905,175.7424,67.4622,176.99739,coverdrive,cover_00024.jpg
95.64925,52.586155,98.68147,49.965458,92.77363,49.798862,101.899216,51.030083,87.4281,50.73262,100.19302,67.64553,78.19476,66.375114,101.74582,87.722534,70.49891,88.564255,104.42897,102.542984,81.297615,105.38765,83.187294,107.324486,69.25084,106.84773,82.60083,142.16617,74.2511,143.10556,74.6697,177.51746,70.42673,180.2672,coverdrive,cover_00025.jpg
138.45839,63.238674,141.0882,60.16137,136.12122,57.998764,138.02553,59.03584,122.77732,52.9493,130.12978,81.22282,102.824905,67.78933,143.58054,106.34801,110.14597,76.91744,148.39435,106.137665,136.9896,85.4002,103.095856,145.2602,84.86475,141.28142,106.619934,190.59052,95.27024,191.1227,106.44105,233.12682,96.66807,239.09491,coverdrive,cover_00026.jpg
137.11243,65.73373,138.16985,61.442036,135.65778,60.886234,128.68051,60.060474,124.654854,59.2982,120.46288,81.02992,102.02711,83.64012,130.16081,109.285255,90.476746,121.11547,152.0525,103.073494,121.08056,112.10902,100.397575,144.98721,89.11331,147.64459,104.1839,191.64725,96.29008,198.91075,102.29147,240.53842,92.64623,249.47173,coverdrive,cover_00027.jpg
140.21928,63.401,137.8118,58.670143,141.1141,58.023697,114.91217,55.143524,135.10434,55.013428,97.99538,73.83524,124.111465,79.76391,113.51313,99.76984,140.96829,112.036575,134.82272,81.942604,144.10625,88.52072,79.929214,156.24046,96.62662,159.45515,97.83812,207.66748,106.617226,214.82127,105.82703,251.57947,101.39766,262.37927,coverdrive,cover_00028.jpg
134.60774,64.73156,132.61534,59.521652,135.36748,59.389393,111.58418,54.772125,133.4705,56.07246,93.854256,73.63347,126.75179,79.07753,103.98809,99.501526,139.80219,109.2994,131.0931,83.960266,141.15819,87.0,74.39789,156.372,96.69451,159.16211,91.868256,208.03719,109.85682,212.17407,98.68688,254.55615,107.12896,259.9161,coverdrive,cover_00029.jpg
113.12592,72.77998,114.46064,70.167656,112.667854,68.91611,106.11745,67.93739,105.38581,65.2574,92.3442,85.78676,92.91488,81.61377,102.24024,113.52713,92.584045,112.83699,120.89079,124.10172,102.56648,150.97371,71.3561,141.77676,73.95937,141.26492,76.76481,182.34212,93.91884,189.00333,69.021164,218.5292,91.77069,236.1284,coverdrive,cover_00032.jpg
